scenario,mean,ci_low,ci_high,n_iter
Random rewiring (degree-preserving),0.023370798207220454,0.022888602457443393,0.023813176022782708,30
Randomized edge weights,0.0020155731330678043,0.0014972530945249792,0.002788332990291258,30
Shuffled SDG labels (SDG6-7 mean gap),0.0035825466713120886,0.0010500535178275714,0.007215971273789877,30
